timestamp,stock,best_bid,best_ask,bid_size,ask_size,mid_price,signal,future_return_1s,future_return_3s,future_return_5s
2024-01-01 09:30:00,AMZN,223.84,223.95,100.0,60.0,223.89499999999998,,0.0006476250027916598,0.0006699568994394949,0.00026798275977579794
2024-01-01 09:30:01,AMZN,223.84,224.24,100.0,20.0,224.04000000000002,,0.00011158721656836842,-0.00020085698982331686,-0.0003793965363329601
2024-01-01 09:30:02,AMZN,223.89,224.24,100.0,20.0,224.065,,-8.925981300073743e-05,-0.0004909289715038656,-0.00031240934550239073
2024-01-01 09:30:03,AMZN,223.89,224.2,100.0,100.0,224.045,,-0.00022316945256525676,-0.0004017050146176144,-0.00022316945256525676
2024-01-01 09:30:04,AMZN,223.89,224.1,100.0,1200.0,223.995,,-0.0001785754146298822,0.0,-4.4643853657407105e-05
2024-01-01 09:30:05,AMZN,223.89,224.02,200.0,100.0,223.95499999999998,-0.0006081555684024353,0.0,0.00017860730950423285,0.00017860730950423285
2024-01-01 09:30:06,AMZN,223.89,224.02,300.0,200.0,223.95499999999998,-0.00033828662948280164,0.00017860730950423285,0.00013395548212823808,0.000245585050568225
2024-01-01 09:30:07,AMZN,223.92,224.07,87.0,129.0,223.995,0.000474540068377142,0.0,0.0,0.0004017946829170446
2024-01-01 09:30:08,AMZN,223.92,224.07,164.0,129.0,223.995,0.00026000639002839626,-4.4643853657407105e-05,6.696578048611066e-05,0.0007589455121766822
2024-01-01 09:30:09,AMZN,223.92,224.05,264.0,29.0,223.985,-6.247280278356045e-05,4.464584682005895e-05,0.0004464584682009702,0.0008036252427618224
2024-01-01 09:30:10,AMZN,223.92,224.07,364.0,100.0,223.995,-0.000575143217909857,6.696578048611066e-05,0.0007589455121766822,0.0007812674390053856
2024-01-01 09:30:11,AMZN,223.92,224.1,364.0,900.0,224.01,-0.000130905874059765,0.0003348064818535648,0.0006919333958306752,0.0007142538279542209
2024-01-01 09:30:12,AMZN,223.93,224.24,87.0,20.0,224.085,-0.0009521253313711971,0.0003570073855903452,0.000379320347189718,0.00046857219358720914
2024-01-01 09:30:13,AMZN,224.09,224.24,287.0,20.0,224.16500000000002,-0.0011478424126989777,0.0,2.2304998550154806e-05,0.00011152499275077403
2024-01-01 09:30:14,AMZN,224.09,224.24,287.0,20.0,224.16500000000002,-0.0013542545877300491,2.2304998550154806e-05,0.00011152499275077403,0.00011152499275077403
2024-01-01 09:30:15,AMZN,224.09,224.25,487.0,20.0,224.17000000000002,-0.0013671091075035204,0.0,8.921800419316505e-05,0.0001115225052414563
2024-01-01 09:30:16,AMZN,224.09,224.25,487.0,20.0,224.17000000000002,-0.0012713214161440924,8.921800419316505e-05,8.921800419316505e-05,0.0001115225052414563
2024-01-01 09:30:17,AMZN,224.09,224.29,487.0,500.0,224.19,-0.00022143377994772912,0.0,2.2302511262747905e-05,2.2302511262747905e-05
2024-01-01 09:30:18,AMZN,224.09,224.29,487.0,500.0,224.19,-0.0001393915931076443,0.0,2.2302511262747905e-05,0.00035684018020422
2024-01-01 09:30:19,AMZN,224.09,224.29,487.0,190.0,224.19,7.7815621717751e-06,2.2302511262747905e-05,2.2302511262747905e-05,0.00035684018020422
2024-01-01 09:30:20,AMZN,224.09,224.3,464.0,501.0,224.195,0.0001008830480446754,0.0,0.0003345302080777387,0.0003345302080777387
2024-01-01 09:30:21,AMZN,224.09,224.3,464.0,401.0,224.195,0.00020482899297287932,0.0,0.0003345302080777387,0.0003345302080777387
2024-01-01 09:30:22,AMZN,224.09,224.3,464.0,301.0,224.195,0.00011907753405648869,0.0003345302080777387,0.0003345302080777387,0.0003345302080777387
2024-01-01 09:30:23,AMZN,224.09,224.45,464.0,100.0,224.26999999999998,7.301057874986583e-05,0.0,0.0,0.0
2024-01-01 09:30:24,AMZN,224.09,224.45,464.0,100.0,224.26999999999998,0.000142234947060634,0.0,0.0,4.458911133909719e-05
