stock_name,minute,buy_time,buy_price,strategy
AMZN,1900-01-01 12:39:00,1900-01-01 12:39:05.651,222.45,TWAP_Buy
AMZN,1900-01-01 12:40:00,1900-01-01 12:40:01.032,222.54,TWAP_Buy
AMZN,1900-01-01 12:41:00,1900-01-01 12:41:00.098,222.54,TWAP_Buy
AMZN,1900-01-01 12:42:00,1900-01-01 12:42:00.510,222.43,TWAP_Buy
AMZN,1900-01-01 12:43:00,1900-01-01 12:43:00.045,222.62,TWAP_Buy
AMZN,1900-01-01 12:44:00,1900-01-01 12:44:00.212,222.53,TWAP_Buy
AMZN,1900-01-01 12:45:00,1900-01-01 12:45:00.314,222.38,TWAP_Buy
AMZN,1900-01-01 12:46:00,1900-01-01 12:46:00.274,222.53,TWAP_Buy
AMZN,1900-01-01 12:47:00,1900-01-01 12:47:00.194,222.68,TWAP_Buy
AMZN,1900-01-01 12:48:00,1900-01-01 12:48:00.733,222.64,TWAP_Buy
AMZN,1900-01-01 12:49:00,1900-01-01 12:49:00.002,222.32,TWAP_Buy
AMZN,1900-01-01 12:50:00,1900-01-01 12:50:07.362,222.38,TWAP_Buy
AMZN,1900-01-01 12:51:00,1900-01-01 12:51:00.352,222.38,TWAP_Buy
AMZN,1900-01-01 12:52:00,1900-01-01 12:52:01.864,222.54,TWAP_Buy
AMZN,1900-01-01 12:53:00,1900-01-01 12:53:01.419,222.6,TWAP_Buy
AMZN,1900-01-01 12:54:00,1900-01-01 12:54:00.207,222.82,TWAP_Buy
AMZN,1900-01-01 12:55:00,1900-01-01 12:55:00.053,222.66,TWAP_Buy
AMZN,1900-01-01 12:56:00,1900-01-01 12:56:00.067,222.66,TWAP_Buy
AMZN,1900-01-01 12:57:00,1900-01-01 12:57:00.840,222.62,TWAP_Buy
AMZN,1900-01-01 12:58:00,1900-01-01 12:58:04.991,222.66,TWAP_Buy
AMZN,1900-01-01 12:59:00,1900-01-01 12:59:00.381,222.67,TWAP_Buy
AMZN,1900-01-01 13:00:00,1900-01-01 13:00:00.211,222.71,TWAP_Buy
AMZN,1900-01-01 13:01:00,1900-01-01 13:01:00.293,222.66,TWAP_Buy
AMZN,1900-01-01 13:02:00,1900-01-01 13:02:01.728,222.59,TWAP_Buy
AMZN,1900-01-01 13:03:00,1900-01-01 13:03:00.153,222.75,TWAP_Buy
AMZN,1900-01-01 13:04:00,1900-01-01 13:04:00.664,222.71,TWAP_Buy
AMZN,1900-01-01 13:05:00,1900-01-01 13:05:00.515,222.76,TWAP_Buy
AMZN,1900-01-01 13:06:00,1900-01-01 13:06:00.103,222.82,TWAP_Buy
AMZN,1900-01-01 13:07:00,1900-01-01 13:07:00.094,222.77,TWAP_Buy
AMZN,1900-01-01 13:08:00,1900-01-01 13:08:01.363,222.74,TWAP_Buy
AMZN,1900-01-01 13:09:00,1900-01-01 13:09:01.002,222.81,TWAP_Buy
AMZN,1900-01-01 13:10:00,1900-01-01 13:10:00.161,222.84,TWAP_Buy
AMZN,1900-01-01 13:11:00,1900-01-01 13:11:00.155,222.8,TWAP_Buy
AMZN,1900-01-01 13:12:00,1900-01-01 13:12:00.136,222.72,TWAP_Buy
AMZN,1900-01-01 13:13:00,1900-01-01 13:13:00.361,222.67,TWAP_Buy
AMZN,1900-01-01 13:14:00,1900-01-01 13:14:01.295,222.65,TWAP_Buy
AMZN,1900-01-01 13:15:00,1900-01-01 13:15:00.065,222.64,TWAP_Buy
AMZN,1900-01-01 13:16:00,1900-01-01 13:16:00.079,222.78,TWAP_Buy
AMZN,1900-01-01 13:17:00,1900-01-01 13:17:00.752,222.74,TWAP_Buy
AMZN,1900-01-01 13:18:00,1900-01-01 13:18:00.283,222.92,TWAP_Buy
AMZN,1900-01-01 13:19:00,1900-01-01 13:19:00.947,222.83,TWAP_Buy
AMZN,1900-01-01 13:20:00,1900-01-01 13:20:00.678,222.67,TWAP_Buy
AMZN,1900-01-01 13:21:00,1900-01-01 13:21:00.571,222.64,TWAP_Buy
AMZN,1900-01-01 13:22:00,1900-01-01 13:22:01.723,222.75,TWAP_Buy
AMZN,1900-01-01 13:23:00,1900-01-01 13:23:00.002,223.05,TWAP_Buy
AMZN,1900-01-01 13:24:00,1900-01-01 13:24:02.482,223.01,TWAP_Buy
AMZN,1900-01-01 13:25:00,1900-01-01 13:25:00.023,222.71,TWAP_Buy
AMZN,1900-01-01 13:26:00,1900-01-01 13:26:00.004,222.73,TWAP_Buy
