stock_name,execution_time
INTC,2024-01-01 12:55:10
INTC,2024-01-01 12:56:59
INTC,2024-01-01 12:57:06
INTC,2024-01-01 12:58:17
INTC,2024-01-01 12:59:21
INTC,2024-01-01 13:00:10
INTC,2024-01-01 13:01:59
INTC,2024-01-01 13:02:03
INTC,2024-01-01 13:03:04
INTC,2024-01-01 13:04:38
INTC,2024-01-01 13:05:02
INTC,2024-01-01 13:06:21
INTC,2024-01-01 13:07:59
INTC,2024-01-01 13:08:46
INTC,2024-01-01 13:09:59
INTC,2024-01-01 13:10:26
INTC,2024-01-01 13:11:33
INTC,2024-01-01 13:12:49
INTC,2024-01-01 13:13:18
INTC,2024-01-01 13:14:45
INTC,2024-01-01 13:15:01
INTC,2024-01-01 13:16:06
INTC,2024-01-01 13:17:03
INTC,2024-01-01 13:18:01
INTC,2024-01-01 13:19:04
INTC,2024-01-01 13:20:01
INTC,2024-01-01 13:21:01
INTC,2024-01-01 13:22:09
INTC,2024-01-01 13:23:02
INTC,2024-01-01 13:24:10
INTC,2024-01-01 13:25:30
INTC,2024-01-01 13:26:59
INTC,2024-01-01 13:27:02
INTC,2024-01-01 13:28:18
INTC,2024-01-01 13:29:01
INTC,2024-01-01 13:30:06
INTC,2024-01-01 13:31:21
INTC,2024-01-01 13:32:07
INTC,2024-01-01 13:33:24
INTC,2024-01-01 13:34:01
INTC,2024-01-01 13:35:55
INTC,2024-01-01 13:36:04
INTC,2024-01-01 13:37:19
INTC,2024-01-01 13:38:01
INTC,2024-01-01 13:39:14
INTC,2024-01-01 13:40:07
INTC,2024-01-01 13:41:01
INTC,2024-01-01 13:42:02
INTC,2024-01-01 13:43:01
INTC,2024-01-01 13:44:28
INTC,2024-01-01 13:45:01
INTC,2024-01-01 13:46:02
INTC,2024-01-01 13:47:03
INTC,2024-01-01 13:48:04
INTC,2024-01-01 13:49:14
INTC,2024-01-01 13:50:52
INTC,2024-01-01 13:51:01
INTC,2024-01-01 13:52:01
INTC,2024-01-01 13:53:09
INTC,2024-01-01 13:54:31
INTC,2024-01-01 13:55:01
INTC,2024-01-01 13:56:31
INTC,2024-01-01 13:57:20
INTC,2024-01-01 13:58:32
INTC,2024-01-01 13:59:01
MSFT,2024-01-01 12:39:01
MSFT,2024-01-01 12:40:09
MSFT,2024-01-01 12:41:03
MSFT,2024-01-01 12:42:11
MSFT,2024-01-01 12:43:19
MSFT,2024-01-01 12:44:01
MSFT,2024-01-01 12:45:19
MSFT,2024-01-01 12:46:01
MSFT,2024-01-01 12:47:46
MSFT,2024-01-01 12:48:07
MSFT,2024-01-01 12:49:06
MSFT,2024-01-01 12:50:01
MSFT,2024-01-01 12:51:19
MSFT,2024-01-01 12:52:14
MSFT,2024-01-01 12:53:26
MSFT,2024-01-01 12:54:04
MSFT,2024-01-01 12:55:01
MSFT,2024-01-01 12:56:09
MSFT,2024-01-01 12:57:04
MSFT,2024-01-01 12:58:15
MSFT,2024-01-01 12:59:02
MSFT,2024-01-01 13:00:12
MSFT,2024-01-01 13:01:59
MSFT,2024-01-01 13:02:03
MSFT,2024-01-01 13:03:02
MSFT,2024-01-01 13:04:01
MSFT,2024-01-01 13:05:01
MSFT,2024-01-01 13:06:24
MSFT,2024-01-01 13:07:59
MSFT,2024-01-01 13:08:03
MSFT,2024-01-01 13:09:19
MSFT,2024-01-01 13:10:06
MSFT,2024-01-01 13:11:04
MSFT,2024-01-01 13:12:27
MSFT,2024-01-01 13:13:15
MSFT,2024-01-01 13:14:08
MSFT,2024-01-01 13:15:01
MSFT,2024-01-01 13:16:08
MSFT,2024-01-01 13:17:01
MSFT,2024-01-01 13:18:01
MSFT,2024-01-01 13:19:04
MSFT,2024-01-01 13:20:07
MSFT,2024-01-01 13:21:01
MSFT,2024-01-01 13:22:06
MSFT,2024-01-01 13:23:52
MSFT,2024-01-01 13:24:27
MSFT,2024-01-01 13:25:01
MSFT,2024-01-01 13:26:59
MSFT,2024-01-01 13:27:06
MSFT,2024-01-01 13:28:03
MSFT,2024-01-01 13:29:08
MSFT,2024-01-01 13:30:05
MSFT,2024-01-01 13:31:13
MSFT,2024-01-01 13:32:19
MSFT,2024-01-01 13:33:10
