stock_name,minute,sell_time,sell_price,strategy
AMZN,1900-01-01 12:39:00,1900-01-01 12:39:05.651,222.41,TWAP_Sell
AMZN,1900-01-01 12:40:00,1900-01-01 12:40:01.032,222.39,TWAP_Sell
AMZN,1900-01-01 12:41:00,1900-01-01 12:41:00.098,222.38,TWAP_Sell
AMZN,1900-01-01 12:42:00,1900-01-01 12:42:00.510,222.32,TWAP_Sell
AMZN,1900-01-01 12:43:00,1900-01-01 12:43:00.045,222.49,TWAP_Sell
AMZN,1900-01-01 12:44:00,1900-01-01 12:44:00.212,222.4,TWAP_Sell
AMZN,1900-01-01 12:45:00,1900-01-01 12:45:00.314,222.32,TWAP_Sell
AMZN,1900-01-01 12:46:00,1900-01-01 12:46:00.274,222.42,TWAP_Sell
AMZN,1900-01-01 12:47:00,1900-01-01 12:47:00.194,222.55,TWAP_Sell
AMZN,1900-01-01 12:48:00,1900-01-01 12:48:00.733,222.5,TWAP_Sell
AMZN,1900-01-01 12:49:00,1900-01-01 12:49:00.002,222.19,TWAP_Sell
AMZN,1900-01-01 12:50:00,1900-01-01 12:50:07.362,222.29,TWAP_Sell
AMZN,1900-01-01 12:51:00,1900-01-01 12:51:00.352,222.22,TWAP_Sell
AMZN,1900-01-01 12:52:00,1900-01-01 12:52:01.864,222.37,TWAP_Sell
AMZN,1900-01-01 12:53:00,1900-01-01 12:53:01.419,222.42,TWAP_Sell
AMZN,1900-01-01 12:54:00,1900-01-01 12:54:00.207,222.62,TWAP_Sell
AMZN,1900-01-01 12:55:00,1900-01-01 12:55:00.053,222.5,TWAP_Sell
AMZN,1900-01-01 12:56:00,1900-01-01 12:56:00.067,222.54,TWAP_Sell
AMZN,1900-01-01 12:57:00,1900-01-01 12:57:00.840,222.54,TWAP_Sell
AMZN,1900-01-01 12:58:00,1900-01-01 12:58:04.991,222.55,TWAP_Sell
AMZN,1900-01-01 12:59:00,1900-01-01 12:59:00.381,222.59,TWAP_Sell
AMZN,1900-01-01 13:00:00,1900-01-01 13:00:00.211,222.6,TWAP_Sell
AMZN,1900-01-01 13:01:00,1900-01-01 13:01:00.293,222.56,TWAP_Sell
AMZN,1900-01-01 13:02:00,1900-01-01 13:02:01.728,222.51,TWAP_Sell
AMZN,1900-01-01 13:03:00,1900-01-01 13:03:00.153,222.59,TWAP_Sell
