stock_name,execution_time
INTC,2024-01-01 12:55:01
INTC,2024-01-01 12:56:04
INTC,2024-01-01 12:57:01
INTC,2024-01-01 12:58:50
INTC,2024-01-01 12:59:16
INTC,2024-01-01 13:00:05
INTC,2024-01-01 13:01:15
INTC,2024-01-01 13:02:14
INTC,2024-01-01 13:03:25
INTC,2024-01-01 13:04:48
INTC,2024-01-01 13:05:35
INTC,2024-01-01 13:06:17
INTC,2024-01-01 13:07:59
INTC,2024-01-01 13:08:41
INTC,2024-01-01 13:09:19
INTC,2024-01-01 13:10:06
INTC,2024-01-01 13:11:04
INTC,2024-01-01 13:12:27
INTC,2024-01-01 13:13:01
INTC,2024-01-01 13:14:01
INTC,2024-01-01 13:15:42
INTC,2024-01-01 13:16:04
INTC,2024-01-01 13:17:17
INTC,2024-01-01 13:18:18
INTC,2024-01-01 13:19:10
INTC,2024-01-01 13:20:04
INTC,2024-01-01 13:21:17
INTC,2024-01-01 13:22:23
INTC,2024-01-01 13:23:07
INTC,2024-01-01 13:24:03
INTC,2024-01-01 13:25:01
INTC,2024-01-01 13:26:01
INTC,2024-01-01 13:27:50
INTC,2024-01-01 13:28:59
INTC,2024-01-01 13:29:14
INTC,2024-01-01 13:30:15
INTC,2024-01-01 13:31:26
INTC,2024-01-01 13:32:02
INTC,2024-01-01 13:33:01
INTC,2024-01-01 13:34:05
INTC,2024-01-01 13:35:18
INTC,2024-01-01 13:36:10
INTC,2024-01-01 13:37:01
INTC,2024-01-01 13:38:04
INTC,2024-01-01 13:39:19
INTC,2024-01-01 13:40:21
INTC,2024-01-01 13:41:02
INTC,2024-01-01 13:42:01
INTC,2024-01-01 13:43:05
INTC,2024-01-01 13:44:01
INTC,2024-01-01 13:45:36
INTC,2024-01-01 13:46:21
INTC,2024-01-01 13:47:11
INTC,2024-01-01 13:48:13
INTC,2024-01-01 13:49:01
INTC,2024-01-01 13:50:21
INTC,2024-01-01 13:51:15
INTC,2024-01-01 13:52:04
INTC,2024-01-01 13:53:01
INTC,2024-01-01 13:54:54
INTC,2024-01-01 13:55:22
INTC,2024-01-01 13:56:17
INTC,2024-01-01 13:57:01
INTC,2024-01-01 13:58:07
INTC,2024-01-01 13:59:35
MSFT,2024-01-01 12:39:13
MSFT,2024-01-01 12:40:12
MSFT,2024-01-01 12:41:01
MSFT,2024-01-01 12:42:21
MSFT,2024-01-01 12:43:13
MSFT,2024-01-01 12:44:03
MSFT,2024-01-01 12:45:20
MSFT,2024-01-01 12:46:09
MSFT,2024-01-01 12:47:11
MSFT,2024-01-01 12:48:13
MSFT,2024-01-01 12:49:03
MSFT,2024-01-01 12:50:11
MSFT,2024-01-01 12:51:01
MSFT,2024-01-01 12:52:15
MSFT,2024-01-01 12:53:01
MSFT,2024-01-01 12:54:01
MSFT,2024-01-01 12:55:10
MSFT,2024-01-01 12:56:01
MSFT,2024-01-01 12:57:01
MSFT,2024-01-01 12:58:48
MSFT,2024-01-01 12:59:10
MSFT,2024-01-01 13:00:01
MSFT,2024-01-01 13:01:15
MSFT,2024-01-01 13:02:09
MSFT,2024-01-01 13:03:17
MSFT,2024-01-01 13:04:18
MSFT,2024-01-01 13:05:30
MSFT,2024-01-01 13:06:14
MSFT,2024-01-01 13:07:43
MSFT,2024-01-01 13:08:59
MSFT,2024-01-01 13:09:26
MSFT,2024-01-01 13:10:21
MSFT,2024-01-01 13:11:03
MSFT,2024-01-01 13:12:07
MSFT,2024-01-01 13:13:07
MSFT,2024-01-01 13:14:03
MSFT,2024-01-01 13:15:13
MSFT,2024-01-01 13:16:02
MSFT,2024-01-01 13:17:07
MSFT,2024-01-01 13:18:17
MSFT,2024-01-01 13:19:07
MSFT,2024-01-01 13:20:04
MSFT,2024-01-01 13:21:12
MSFT,2024-01-01 13:22:02
MSFT,2024-01-01 13:23:01
MSFT,2024-01-01 13:24:03
MSFT,2024-01-01 13:25:02
MSFT,2024-01-01 13:26:59
MSFT,2024-01-01 13:27:02
MSFT,2024-01-01 13:28:59
MSFT,2024-01-01 13:29:14
MSFT,2024-01-01 13:30:09
MSFT,2024-01-01 13:31:10
MSFT,2024-01-01 13:32:02
MSFT,2024-01-01 13:33:01
MSFT,2024-01-01 13:34:04
MSFT,2024-01-01 13:35:18
MSFT,2024-01-01 13:36:10
MSFT,2024-01-01 13:37:12
MSFT,2024-01-01 13:38:01
MSFT,2024-01-01 13:39:14
MSFT,2024-01-01 13:40:19
MSFT,2024-01-01 13:41:07
MSFT,2024-01-01 13:42:01
MSFT,2024-01-01 13:43:01
MSFT,2024-01-01 13:44:01
MSFT,2024-01-01 13:45:10
MSFT,2024-01-01 13:46:07
MSFT,2024-01-01 13:47:06
MSFT,2024-01-01 13:48:06
MSFT,2024-01-01 13:49:01
MSFT,2024-01-01 13:50:21
MSFT,2024-01-01 13:51:01
MSFT,2024-01-01 13:52:03
MSFT,2024-01-01 13:53:01
MSFT,2024-01-01 13:54:31
MSFT,2024-01-01 13:55:06
MSFT,2024-01-01 13:56:03
MSFT,2024-01-01 13:57:01
MSFT,2024-01-01 13:58:07
MSFT,2024-01-01 13:59:01
