sample,stock,n_minutes,buy_hit_rate,sell_hit_rate,avg_buy_vwof,avg_sell_vwof,avg_buy_spread,avg_sell_spread
test,AAPL,120,1.0,1.0,0.011820683111694624,-0.041436668410312204,0.07433333333333395,0.0597500000000025
test,AMZN,120,0.9916666666666667,0.975,0.019272628627919855,-0.031528751373588,0.07466666666666555,0.072666666666665
test,GOOG,120,1.0,1.0,0.02144279804714198,-0.030517061462994825,0.13599999999999568,0.1410833333333263
test,INTC,120,0.9833333333333333,1.0,0.20569210635085652,-0.06189856601825073,0.009999999999999964,0.009999999999999816
test,MSFT,120,1.0,1.0,0.1504743949416043,-0.1259208194401882,0.009999999999999993,0.009999999999999757
train,AAPL,270,0.837037037037037,1.0,0.013797177224169004,-0.03884335022949603,0.11125925925926292,0.0888888888888872
train,AMZN,270,1.0,0.9851851851851852,0.012761361694099952,-0.016729830406289586,0.08603703703703605,0.09470370370370283
train,GOOG,270,0.9037037037037037,0.9851851851851852,-0.003585062564074792,-0.0740339580235513,0.19718518518518355,0.17762962962962933
train,INTC,270,0.9037037037037037,0.9740740740740741,0.143581309863657,-0.11305215326899315,0.009999999999999905,0.010037037037036987
train,MSFT,270,0.9925925925925926,0.9444444444444444,0.200664992909791,-0.1281251650701714,0.010000000000000077,0.010074074074073899
