stock,minute,sample,algo_buy_time,algo_sell_time,algo_buy_price,algo_sell_price,pred_buy_regret,pred_sell_regret,buy_vwof,sell_vwof,buy_micro_momentum,sell_micro_momentum,buy_spread,sell_spread,buy_threshold,sell_threshold,buy_trigger,sell_trigger
AMZN,1900-01-01 09:30:00,train,1900-01-01 09:30:40.011,1900-01-01 09:30:45.512,224.42,224.13,0.07101281043709587,-0.004370821410183648,-0.13425835450456627,-0.12348668280868952,-0.01679640852881903,-0.10500000193246706,0.1699999999999875,0.060000000000002274,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:31:00,train,1900-01-01 09:31:51.248,1900-01-01 09:31:43.449,223.81,223.84,0.010384712301923088,0.0437779852742789,-0.118672199170026,-0.13578858588694523,0.15193069085339062,-0.07381516640742802,0.0800000000000125,0.1599999999999966,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:32:00,train,1900-01-01 09:32:14.312,1900-01-01 09:32:14.313,224.19,224.17,0.0695056994429891,0.04209628667303,0.1225011273109691,0.09238551650690996,-0.050000000560089575,0.009169328357245377,0.020000000000010232,0.020000000000010232,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:33:00,train,1900-01-01 09:33:34.718,1900-01-01 09:33:53.007,223.89,224.0,0.06645440570941717,0.018080712941905483,-0.006075334143377065,0.016986980781151025,-0.06666666703966939,-0.09310810886427134,0.12999999999999545,0.18000000000000682,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:34:00,train,1900-01-01 09:34:29.360,1900-01-01 09:34:45.055,224.65,224.48,0.05792970233280827,0.039893003217725535,-0.07085680403200846,-0.06398153975245144,0.2205445522312175,0.010505616715903443,0.0800000000000125,0.17000000000001592,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:35:00,train,1900-01-01 09:35:33.270,1900-01-01 09:35:22.253,224.24,224.1,0.07734233415967841,0.0395451427368433,0.028381488110454052,0.0002119093028183488,-0.02333333408049043,-0.0766666674129226,0.14000000000001478,0.09000000000000341,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:36:00,train,1900-01-01 09:36:25.086,1900-01-01 09:36:25.086,224.04,223.96,0.06872884583697557,0.0011231415841891634,0.018867924528299513,0.024999999999996872,-0.0050000014931299575,-0.1694859833984026,0.07999999999998408,0.030000000000001137,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:37:00,train,1900-01-01 09:37:32.718,1900-01-01 09:37:32.718,224.15,224.04,0.0643285628587213,0.04880777387949041,0.04405218726016208,0.04405218726016208,-0.004139786151000635,-0.004139786151000635,0.11000000000001364,0.11000000000001364,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:38:00,train,1900-01-01 09:38:23.586,1900-01-01 09:38:35.969,224.11,223.94,0.07639709118434357,0.009219748360399238,-0.03628560280920088,0.054231433506035535,0.003925232597794093,-1.1200711469427915e-09,0.10000000000002274,0.030000000000001137,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AMZN,1900-01-01 09:39:00,train,1900-01-01 09:39:18.411,1900-01-01 09:39:59.631,223.96,223.77,0.05800901300932371,0.09958098498984308,0.11111111111109144,-0.09969788519635579,0.016666665920240575,-1.1198153515579179e-09,0.020000000000010232,0.38999999999998636,0.07735572641221891,0.049852603994784944,ridge_signal_passed_vwof_filter,fallback_last
