stock,buy_threshold_quantile,sell_threshold_quantile,buy_threshold,sell_threshold,validation_improvement,buy_hit_rate,sell_hit_rate
AMZN,0.05,0.05,0.010303959997709394,-0.0013972512350166001,18.14207650273498,0.7160493827160493,0.7160493827160493
AMZN,0.05,0.1,0.010303959997709394,0.011377590320912522,22.076502732250475,0.7160493827160493,0.8518518518518519
AMZN,0.05,0.15,0.010303959997709394,0.019825936808106095,21.311475409849095,0.7160493827160493,0.9753086419753086
AMZN,0.05,0.2,0.010303959997709394,0.0273251952373196,20.218579235001357,0.7160493827160493,0.9876543209876543
AMZN,0.05,0.25,0.010303959997709394,0.03304352394836539,22.841530054691603,0.7160493827160493,0.9876543209876543
AMZN,0.05,0.3,0.010303959997709394,0.03894393748341045,20.437158469978854,0.7160493827160493,0.9876543209876543
AMZN,0.05,0.4,0.010303959997709394,0.050567004626571384,15.95628415303949,0.7160493827160493,1.0
AMZN,0.05,0.5,0.010303959997709394,0.06279425060040303,18.907103825176108,0.7160493827160493,1.0
AMZN,0.1,0.05,0.019531603292290072,-0.0013972512350166001,24.48087431692346,0.9135802469135802,0.7160493827160493
AMZN,0.1,0.1,0.019531603292290072,0.011377590320912522,28.415300546438957,0.9135802469135802,0.8518518518518519
AMZN,0.1,0.15,0.019531603292290072,0.019825936808106095,27.65027322403759,0.9135802469135802,0.9753086419753086
AMZN,0.1,0.2,0.019531603292290072,0.0273251952373196,26.55737704918984,0.9135802469135802,0.9876543209876543
AMZN,0.1,0.25,0.019531603292290072,0.03304352394836539,29.1803278688801,0.9135802469135802,0.9876543209876543
AMZN,0.1,0.3,0.019531603292290072,0.03894393748341045,26.77595628416735,0.9135802469135802,0.9876543209876543
AMZN,0.1,0.4,0.019531603292290072,0.050567004626571384,22.295081967227972,0.9135802469135802,1.0
AMZN,0.1,0.5,0.019531603292290072,0.06279425060040303,25.245901639364604,0.9135802469135802,1.0
AMZN,0.15,0.05,0.026786515465464636,-0.0013972512350166001,25.136612021855967,0.9753086419753086,0.7160493827160493
AMZN,0.15,0.1,0.026786515465464636,0.011377590320912522,29.071038251371462,0.9753086419753086,0.8518518518518519
AMZN,0.15,0.15,0.026786515465464636,0.019825936808106095,28.306010928970096,0.9753086419753086,0.9753086419753086
AMZN,0.15,0.2,0.026786515465464636,0.0273251952373196,27.213114754122344,0.9753086419753086,0.9876543209876543
AMZN,0.15,0.25,0.026786515465464636,0.03304352394836539,29.836065573812604,0.9753086419753086,0.9876543209876543
AMZN,0.15,0.3,0.026786515465464636,0.03894393748341045,27.43169398909984,0.9753086419753086,0.9876543209876543
AMZN,0.15,0.4,0.026786515465464636,0.050567004626571384,22.950819672160478,0.9753086419753086,1.0
AMZN,0.15,0.5,0.026786515465464636,0.06279425060040303,25.901639344297095,0.9753086419753086,1.0
AMZN,0.2,0.05,0.0328300967482963,-0.0013972512350166001,19.672131147537726,0.9876543209876543,0.7160493827160493
AMZN,0.2,0.1,0.0328300967482963,0.011377590320912522,23.60655737705322,0.9876543209876543,0.8518518518518519
AMZN,0.2,0.15,0.0328300967482963,0.019825936808106095,22.841530054651855,0.9876543209876543,0.9753086419753086
AMZN,0.2,0.2,0.0328300967482963,0.0273251952373196,21.748633879804103,0.9876543209876543,0.9876543209876543
AMZN,0.2,0.25,0.0328300967482963,0.03304352394836539,24.37158469949435,0.9876543209876543,0.9876543209876543
AMZN,0.2,0.3,0.0328300967482963,0.03894393748341045,21.9672131147816,0.9876543209876543,0.9876543209876543
AMZN,0.2,0.4,0.0328300967482963,0.050567004626571384,17.486338797842237,0.9876543209876543,1.0
AMZN,0.2,0.5,0.0328300967482963,0.06279425060040303,20.437158469978854,0.9876543209876543,1.0
AMZN,0.25,0.05,0.03833088583214389,-0.0013972512350166001,20.218579234961595,0.9876543209876543,0.7160493827160493
AMZN,0.25,0.1,0.03833088583214389,0.011377590320912522,24.15300546447709,0.9876543209876543,0.8518518518518519
AMZN,0.25,0.15,0.03833088583214389,0.019825936808106095,23.387978142075724,0.9876543209876543,0.9753086419753086
AMZN,0.25,0.2,0.03833088583214389,0.0273251952373196,22.295081967227972,0.9876543209876543,0.9876543209876543
AMZN,0.25,0.25,0.03833088583214389,0.03304352394836539,24.918032786918232,0.9876543209876543,0.9876543209876543
AMZN,0.25,0.3,0.03833088583214389,0.03894393748341045,22.513661202205483,0.9876543209876543,0.9876543209876543
AMZN,0.25,0.4,0.03833088583214389,0.050567004626571384,18.032786885266106,0.9876543209876543,1.0
AMZN,0.25,0.5,0.03833088583214389,0.06279425060040303,20.983606557402723,0.9876543209876543,1.0
AMZN,0.3,0.05,0.044876123509604446,-0.0013972512350166001,20.109289617452973,0.9876543209876543,0.7160493827160493
AMZN,0.3,0.1,0.044876123509604446,0.011377590320912522,24.043715846968468,0.9876543209876543,0.8518518518518519
AMZN,0.3,0.15,0.044876123509604446,0.019825936808106095,23.278688524567087,0.9876543209876543,0.9753086419753086
AMZN,0.3,0.2,0.044876123509604446,0.0273251952373196,22.18579234971935,0.9876543209876543,0.9876543209876543
AMZN,0.3,0.25,0.044876123509604446,0.03304352394836539,24.808743169409595,0.9876543209876543,0.9876543209876543
AMZN,0.3,0.3,0.044876123509604446,0.03894393748341045,22.404371584696847,0.9876543209876543,0.9876543209876543
AMZN,0.3,0.4,0.044876123509604446,0.050567004626571384,17.923497267757483,0.9876543209876543,1.0
AMZN,0.3,0.5,0.044876123509604446,0.06279425060040303,20.8743169398941,0.9876543209876543,1.0
AMZN,0.4,0.05,0.05679821222419757,-0.0013972512350166001,24.37158469941484,1.0,0.7160493827160493
AMZN,0.4,0.1,0.05679821222419757,0.011377590320912522,28.306010928930334,1.0,0.8518518518518519
AMZN,0.4,0.15,0.05679821222419757,0.019825936808106095,27.540983606528954,1.0,0.9753086419753086
AMZN,0.4,0.2,0.05679821222419757,0.0273251952373196,26.448087431681216,1.0,0.9876543209876543
AMZN,0.4,0.25,0.05679821222419757,0.03304352394836539,29.071038251371462,1.0,0.9876543209876543
AMZN,0.4,0.3,0.05679821222419757,0.03894393748341045,26.666666666658713,1.0,0.9876543209876543
AMZN,0.4,0.4,0.05679821222419757,0.050567004626571384,22.18579234971935,1.0,1.0
AMZN,0.4,0.5,0.05679821222419757,0.06279425060040303,25.136612021855967,1.0,1.0
AMZN,0.5,0.05,0.06891675786836413,-0.0013972512350166001,27.978142076483962,1.0,0.7160493827160493
AMZN,0.5,0.1,0.06891675786836413,0.011377590320912522,31.912568305999457,1.0,0.8518518518518519
AMZN,0.5,0.15,0.06891675786836413,0.019825936808106095,31.147540983598077,1.0,0.9753086419753086
AMZN,0.5,0.2,0.06891675786836413,0.0273251952373196,30.05464480875034,1.0,0.9876543209876543
AMZN,0.5,0.25,0.06891675786836413,0.03304352394836539,32.677595628440585,1.0,0.9876543209876543
AMZN,0.5,0.3,0.06891675786836413,0.03894393748341045,30.273224043727836,1.0,0.9876543209876543
AMZN,0.5,0.4,0.06891675786836413,0.050567004626571384,25.792349726788473,1.0,1.0
AMZN,0.5,0.5,0.06891675786836413,0.06279425060040303,28.74316939892509,1.0,1.0
GOOG,0.05,0.05,-0.09330723471441578,0.0008652386784437574,27.40778688519545,0.7037037037037037,0.7654320987654321
GOOG,0.05,0.1,-0.09330723471441578,0.017611911846843457,34.83606557374085,0.7037037037037037,0.9382716049382716
GOOG,0.05,0.15,-0.09330723471441578,0.027620976544616593,33.60655737703024,0.7037037037037037,0.9753086419753086
GOOG,0.05,0.2,-0.09330723471441578,0.03712254422168958,37.29508196716209,0.7037037037037037,0.9876543209876543
GOOG,0.05,0.25,-0.09330723471441578,0.04663339676275968,39.1905737704538,0.7037037037037037,1.0
GOOG,0.05,0.3,-0.09330723471441578,0.05622659078737921,42.622950819661746,0.7037037037037037,1.0
GOOG,0.05,0.4,-0.09330723471441578,0.07078827187583253,40.16393442624051,0.7037037037037037,1.0
GOOG,0.05,0.5,-0.09330723471441578,0.08513667368683409,41.34221311474398,0.7037037037037037,1.0
GOOG,0.1,0.05,-0.052186916487683706,0.0008652386784437574,27.510245901647025,0.8395061728395061,0.7654320987654321
GOOG,0.1,0.1,-0.052186916487683706,0.017611911846843457,34.93852459019243,0.8395061728395061,0.9382716049382716
GOOG,0.1,0.15,-0.052186916487683706,0.027620976544616593,33.709016393481804,0.8395061728395061,0.9753086419753086
GOOG,0.1,0.2,-0.052186916487683706,0.03712254422168958,37.39754098361366,0.8395061728395061,0.9876543209876543
GOOG,0.1,0.25,-0.052186916487683706,0.04663339676275968,39.29303278690537,0.8395061728395061,1.0
GOOG,0.1,0.3,-0.052186916487683706,0.05622659078737921,42.725409836113315,0.8395061728395061,1.0
GOOG,0.1,0.4,-0.052186916487683706,0.07078827187583253,40.26639344269208,0.8395061728395061,1.0
GOOG,0.1,0.5,-0.052186916487683706,0.08513667368683409,41.444672131195546,0.8395061728395061,1.0
GOOG,0.15,0.05,-0.02264931436912266,0.0008652386784437574,27.817622950778087,0.8888888888888888,0.7654320987654321
GOOG,0.15,0.1,-0.02264931436912266,0.017611911846843457,35.24590163932349,0.8888888888888888,0.9382716049382716
GOOG,0.15,0.15,-0.02264931436912266,0.027620976544616593,34.016393442612866,0.8888888888888888,0.9753086419753086
GOOG,0.15,0.2,-0.02264931436912266,0.03712254422168958,37.70491803274472,0.8888888888888888,0.9876543209876543
GOOG,0.15,0.25,-0.02264931436912266,0.04663339676275968,39.600409836036434,0.8888888888888888,1.0
GOOG,0.15,0.3,-0.02264931436912266,0.05622659078737921,43.03278688524438,0.8888888888888888,1.0
GOOG,0.15,0.4,-0.02264931436912266,0.07078827187583253,40.57377049182314,0.8888888888888888,1.0
GOOG,0.15,0.5,-0.02264931436912266,0.08513667368683409,41.75204918032661,0.8888888888888888,1.0
GOOG,0.2,0.05,0.0004992704670353289,0.0008652386784437574,33.657786885237385,0.9382716049382716,0.7654320987654321
GOOG,0.2,0.1,0.0004992704670353289,0.017611911846843457,41.08606557378279,0.9382716049382716,0.9382716049382716
GOOG,0.2,0.15,0.0004992704670353289,0.027620976544616593,39.85655737707217,0.9382716049382716,0.9753086419753086
GOOG,0.2,0.2,0.0004992704670353289,0.03712254422168958,43.54508196720403,0.9382716049382716,0.9876543209876543
GOOG,0.2,0.25,0.0004992704670353289,0.04663339676275968,45.44057377049574,0.9382716049382716,1.0
GOOG,0.2,0.3,0.0004992704670353289,0.05622659078737921,48.872950819703675,0.9382716049382716,1.0
GOOG,0.2,0.4,0.0004992704670353289,0.07078827187583253,46.41393442628244,0.9382716049382716,1.0
GOOG,0.2,0.5,0.0004992704670353289,0.08513667368683409,47.59221311478591,0.9382716049382716,1.0
GOOG,0.25,0.05,0.020234816173717377,0.0008652386784437574,31.76229508194568,0.9629629629629629,0.7654320987654321
GOOG,0.25,0.1,0.020234816173717377,0.017611911846843457,39.19057377049108,0.9629629629629629,0.9382716049382716
GOOG,0.25,0.15,0.020234816173717377,0.027620976544616593,37.96106557378046,0.9629629629629629,0.9753086419753086
GOOG,0.25,0.2,0.020234816173717377,0.03712254422168958,41.649590163912315,0.9629629629629629,0.9876543209876543
GOOG,0.25,0.25,0.020234816173717377,0.04663339676275968,43.54508196720403,0.9629629629629629,1.0
GOOG,0.25,0.3,0.020234816173717377,0.05622659078737921,46.97745901641196,0.9629629629629629,1.0
GOOG,0.25,0.4,0.020234816173717377,0.07078827187583253,44.518442622990726,0.9629629629629629,1.0
GOOG,0.25,0.5,0.020234816173717377,0.08513667368683409,45.6967213114942,0.9629629629629629,1.0
GOOG,0.3,0.05,0.040093729690179464,0.0008652386784437574,33.19672131148488,1.0,0.7654320987654321
GOOG,0.3,0.1,0.040093729690179464,0.017611911846843457,40.62500000003028,1.0,0.9382716049382716
GOOG,0.3,0.15,0.040093729690179464,0.027620976544616593,39.395491803319665,1.0,0.9753086419753086
GOOG,0.3,0.2,0.040093729690179464,0.03712254422168958,43.08401639345152,1.0,0.9876543209876543
GOOG,0.3,0.25,0.040093729690179464,0.04663339676275968,44.97950819674323,1.0,1.0
GOOG,0.3,0.3,0.040093729690179464,0.05622659078737921,48.411885245951176,1.0,1.0
GOOG,0.3,0.4,0.040093729690179464,0.07078827187583253,45.95286885252994,1.0,1.0
GOOG,0.3,0.5,0.040093729690179464,0.08513667368683409,47.13114754103341,1.0,1.0
GOOG,0.4,0.05,0.08018091870875474,0.0008652386784437574,24.026639344269213,1.0,0.7654320987654321
GOOG,0.4,0.1,0.08018091870875474,0.017611911846843457,31.454918032814618,1.0,0.9382716049382716
GOOG,0.4,0.15,0.08018091870875474,0.027620976544616593,30.225409836103992,1.0,0.9753086419753086
GOOG,0.4,0.2,0.08018091870875474,0.03712254422168958,33.913934426235855,1.0,0.9876543209876543
GOOG,0.4,0.25,0.08018091870875474,0.04663339676275968,35.80942622952756,1.0,1.0
GOOG,0.4,0.3,0.08018091870875474,0.05622659078737921,39.241803278735496,1.0,1.0
GOOG,0.4,0.4,0.08018091870875474,0.07078827187583253,36.782786885314266,1.0,1.0
GOOG,0.4,0.5,0.08018091870875474,0.08513667368683409,37.961065573817734,1.0,1.0
GOOG,0.5,0.05,0.11342032344952488,0.0008652386784437574,23.616803278686575,1.0,0.7654320987654321
GOOG,0.5,0.1,0.11342032344952488,0.017611911846843457,31.04508196723198,1.0,0.9382716049382716
GOOG,0.5,0.15,0.11342032344952488,0.027620976544616593,29.815573770521368,1.0,0.9753086419753086
GOOG,0.5,0.2,0.11342032344952488,0.03712254422168958,33.50409836065322,1.0,0.9876543209876543
GOOG,0.5,0.25,0.11342032344952488,0.04663339676275968,35.399590163944936,1.0,1.0
GOOG,0.5,0.3,0.11342032344952488,0.05622659078737921,38.83196721315287,1.0,1.0
GOOG,0.5,0.4,0.11342032344952488,0.07078827187583253,36.372950819731635,1.0,1.0
GOOG,0.5,0.5,0.11342032344952488,0.08513667368683409,37.5512295082351,1.0,1.0
INTC,0.05,0.05,-0.009804781317385361,-0.004102329934098111,23.809523809593415,0.5061728395061729,0.5555555555555556
INTC,0.05,0.1,-0.009804781317385361,-0.0026466649352202597,34.5238095238888,0.5061728395061729,0.7777777777777778
INTC,0.05,0.15,-0.009804781317385361,-0.001423425358936349,36.90476190478317,0.5061728395061729,0.8395061728395061
INTC,0.05,0.2,-0.009804781317385361,-0.00040800766486247074,39.28571428578582,0.5061728395061729,0.9259259259259259
INTC,0.05,0.25,-0.009804781317385361,0.000515869787082149,41.6666666666802,0.5061728395061729,0.9629629629629629
INTC,0.05,0.3,-0.009804781317385361,0.001416524507130831,44.04761904768285,0.5061728395061729,0.9753086419753086
INTC,0.05,0.4,-0.009804781317385361,0.0032032292616676404,46.42857142857723,0.5061728395061729,0.9753086419753086
INTC,0.05,0.5,-0.009804781317385361,0.004657447743810042,53.57142857147691,0.5061728395061729,0.9876543209876543
INTC,0.1,0.05,-0.008081907500379269,-0.004102329934098111,26.19047619059606,0.6666666666666666,0.5555555555555556
INTC,0.1,0.1,-0.008081907500379269,-0.0026466649352202597,36.904761904891444,0.6666666666666666,0.7777777777777778
INTC,0.1,0.15,-0.008081907500379269,-0.001423425358936349,39.28571428578582,0.6666666666666666,0.8395061728395061
INTC,0.1,0.2,-0.008081907500379269,-0.00040800766486247074,41.66666666678847,0.6666666666666666,0.9259259259259259
INTC,0.1,0.25,-0.008081907500379269,0.000515869787082149,44.04761904768285,0.6666666666666666,0.9629629629629629
INTC,0.1,0.3,-0.008081907500379269,0.001416524507130831,46.4285714286855,0.6666666666666666,0.9753086419753086
INTC,0.1,0.4,-0.008081907500379269,0.0032032292616676404,48.80952380957988,0.6666666666666666,0.9753086419753086
INTC,0.1,0.5,-0.008081907500379269,0.004657447743810042,55.95238095247956,0.6666666666666666,0.9876543209876543
INTC,0.15,0.05,-0.006738087598793415,-0.004102329934098111,30.952380952438958,0.8518518518518519,0.5555555555555556
INTC,0.15,0.1,-0.006738087598793415,-0.0026466649352202597,41.666666666734336,0.8518518518518519,0.7777777777777778
INTC,0.15,0.15,-0.006738087598793415,-0.001423425358936349,44.047619047628714,0.8518518518518519,0.8395061728395061
INTC,0.15,0.2,-0.006738087598793415,-0.00040800766486247074,46.428571428631365,0.8518518518518519,0.9259259259259259
INTC,0.15,0.25,-0.006738087598793415,0.000515869787082149,48.80952380952574,0.8518518518518519,0.9629629629629629
INTC,0.15,0.3,-0.006738087598793415,0.001416524507130831,51.19047619052839,0.8518518518518519,0.9753086419753086
INTC,0.15,0.4,-0.006738087598793415,0.0032032292616676404,53.57142857142277,0.8518518518518519,0.9753086419753086
INTC,0.15,0.5,-0.006738087598793415,0.004657447743810042,60.71428571432245,0.8518518518518519,0.9876543209876543
INTC,0.2,0.05,-0.005752003385877748,-0.004102329934098111,32.142857142994416,0.8888888888888888,0.5555555555555556
INTC,0.2,0.1,-0.005752003385877748,-0.0026466649352202597,42.8571428572898,0.8888888888888888,0.7777777777777778
INTC,0.2,0.15,-0.005752003385877748,-0.001423425358936349,45.23809523818418,0.8888888888888888,0.8395061728395061
INTC,0.2,0.2,-0.005752003385877748,-0.00040800766486247074,47.61904761918683,0.8888888888888888,0.9259259259259259
INTC,0.2,0.25,-0.005752003385877748,0.000515869787082149,50.00000000008121,0.8888888888888888,0.9629629629629629
INTC,0.2,0.3,-0.005752003385877748,0.001416524507130831,52.38095238108386,0.8888888888888888,0.9753086419753086
INTC,0.2,0.4,-0.005752003385877748,0.0032032292616676404,54.761904761978236,0.8888888888888888,0.9753086419753086
INTC,0.2,0.5,-0.005752003385877748,0.004657447743810042,61.90476190487791,0.8888888888888888,0.9876543209876543
INTC,0.25,0.05,-0.004818871030100662,-0.004102329934098111,33.33333333338747,0.9629629629629629,0.5555555555555556
INTC,0.25,0.1,-0.004818871030100662,-0.0026466649352202597,44.04761904768285,0.9629629629629629,0.7777777777777778
INTC,0.25,0.15,-0.004818871030100662,-0.001423425358936349,46.42857142857723,0.9629629629629629,0.8395061728395061
INTC,0.25,0.2,-0.004818871030100662,-0.00040800766486247074,48.80952380957988,0.9629629629629629,0.9259259259259259
INTC,0.25,0.25,-0.004818871030100662,0.000515869787082149,51.19047619047426,0.9629629629629629,0.9629629629629629
INTC,0.25,0.3,-0.004818871030100662,0.001416524507130831,53.57142857147691,0.9629629629629629,0.9753086419753086
INTC,0.25,0.4,-0.004818871030100662,0.0032032292616676404,55.952380952371286,0.9629629629629629,0.9753086419753086
INTC,0.25,0.5,-0.004818871030100662,0.004657447743810042,63.095238095270965,0.9629629629629629,0.9876543209876543
INTC,0.3,0.05,-0.003965039065010898,-0.004102329934098111,29.761904761991772,0.9629629629629629,0.5555555555555556
INTC,0.3,0.1,-0.003965039065010898,-0.0026466649352202597,40.47619047628715,0.9629629629629629,0.7777777777777778
INTC,0.3,0.15,-0.003965039065010898,-0.001423425358936349,42.85714285718153,0.9629629629629629,0.8395061728395061
INTC,0.3,0.2,-0.003965039065010898,-0.00040800766486247074,45.23809523818418,0.9629629629629629,0.9259259259259259
INTC,0.3,0.25,-0.003965039065010898,0.000515869787082149,47.61904761907856,0.9629629629629629,0.9629629629629629
INTC,0.3,0.3,-0.003965039065010898,0.001416524507130831,50.00000000008121,0.9629629629629629,0.9753086419753086
INTC,0.3,0.4,-0.003965039065010898,0.0032032292616676404,52.38095238097558,0.9629629629629629,0.9753086419753086
INTC,0.3,0.5,-0.003965039065010898,0.004657447743810042,59.52380952387526,0.9629629629629629,0.9876543209876543
INTC,0.4,0.05,-0.0022171206055161385,-0.004102329934098111,25.0000000000406,0.9876543209876543,0.5555555555555556
INTC,0.4,0.1,-0.0022171206055161385,-0.0026466649352202597,35.714285714335986,0.9876543209876543,0.7777777777777778
INTC,0.4,0.15,-0.0022171206055161385,-0.001423425358936349,38.095238095230364,0.9876543209876543,0.8395061728395061
INTC,0.4,0.2,-0.0022171206055161385,-0.00040800766486247074,40.476190476233015,0.9876543209876543,0.9259259259259259
INTC,0.4,0.25,-0.0022171206055161385,0.000515869787082149,42.85714285712739,0.9876543209876543,0.9629629629629629
INTC,0.4,0.3,-0.0022171206055161385,0.001416524507130831,45.23809523813004,0.9876543209876543,0.9753086419753086
INTC,0.4,0.4,-0.0022171206055161385,0.0032032292616676404,47.61904761902442,0.9876543209876543,0.9753086419753086
INTC,0.4,0.5,-0.0022171206055161385,0.004657447743810042,54.76190476192409,0.9876543209876543,0.9876543209876543
INTC,0.5,0.05,-0.0006937551634939518,-0.004102329934098111,22.619047619092086,1.0,0.5555555555555556
INTC,0.5,0.1,-0.0006937551634939518,-0.0026466649352202597,33.33333333338747,1.0,0.7777777777777778
INTC,0.5,0.15,-0.0006937551634939518,-0.001423425358936349,35.71428571428184,1.0,0.8395061728395061
INTC,0.5,0.2,-0.0006937551634939518,-0.00040800766486247074,38.0952380952845,1.0,0.9259259259259259
INTC,0.5,0.25,-0.0006937551634939518,0.000515869787082149,40.47619047617888,1.0,0.9629629629629629
INTC,0.5,0.3,-0.0006937551634939518,0.001416524507130831,42.85714285718153,1.0,0.9753086419753086
INTC,0.5,0.4,-0.0006937551634939518,0.0032032292616676404,45.23809523807591,1.0,0.9753086419753086
INTC,0.5,0.5,-0.0006937551634939518,0.004657447743810042,52.38095238097558,1.0,0.9876543209876543
MSFT,0.05,0.05,-0.0006717594027194004,-0.0011735166294162243,60.4938271605271,0.7037037037037037,0.7283950617283951
MSFT,0.05,0.1,-0.0006717594027194004,0.000421991844600989,67.90123456792827,0.7037037037037037,0.8518518518518519
MSFT,0.05,0.15,-0.0006717594027194004,0.0016807503047893864,69.13580246913372,0.7037037037037037,0.9506172839506173
MSFT,0.05,0.2,-0.0006717594027194004,0.0025383670513191734,72.83950617286237,0.7037037037037037,0.9876543209876543
MSFT,0.05,0.25,-0.0006717594027194004,0.003298396439586752,71.60493827160079,0.7037037037037037,1.0
MSFT,0.05,0.3,-0.0006717594027194004,0.0040198825095078584,77.77777777779649,0.7037037037037037,1.0
MSFT,0.05,0.4,-0.0006717594027194004,0.00553384278750544,71.60493827160079,0.7037037037037037,1.0
MSFT,0.05,0.5,-0.0006717594027194004,0.007008727286810887,64.19753086425575,0.7037037037037037,1.0
MSFT,0.1,0.05,0.0005925441500509712,-0.0011735166294162243,55.55555555559298,0.9012345679012346,0.7283950617283951
MSFT,0.1,0.1,0.0005925441500509712,0.000421991844600989,62.962962962994155,0.9012345679012346,0.8518518518518519
MSFT,0.1,0.15,0.0005925441500509712,0.0016807503047893864,64.19753086419962,0.9012345679012346,0.9506172839506173
MSFT,0.1,0.2,0.0005925441500509712,0.0025383670513191734,67.90123456792827,0.9012345679012346,0.9876543209876543
MSFT,0.1,0.25,0.0005925441500509712,0.003298396439586752,66.66666666666666,0.9012345679012346,1.0
MSFT,0.1,0.3,0.0005925441500509712,0.0040198825095078584,72.83950617286237,0.9012345679012346,1.0
MSFT,0.1,0.4,0.0005925441500509712,0.00553384278750544,66.66666666666666,0.9012345679012346,1.0
MSFT,0.1,0.5,0.0005925441500509712,0.007008727286810887,59.25925925932164,0.9012345679012346,1.0
MSFT,0.15,0.05,0.0015308417188143685,-0.0011735166294162243,60.4938271605271,0.9753086419753086,0.7283950617283951
MSFT,0.15,0.1,0.0015308417188143685,0.000421991844600989,67.90123456792827,0.9753086419753086,0.8518518518518519
MSFT,0.15,0.15,0.0015308417188143685,0.0016807503047893864,69.13580246913372,0.9753086419753086,0.9506172839506173
MSFT,0.15,0.2,0.0015308417188143685,0.0025383670513191734,72.83950617286237,0.9753086419753086,0.9876543209876543
MSFT,0.15,0.25,0.0015308417188143685,0.003298396439586752,71.60493827160079,0.9753086419753086,1.0
MSFT,0.15,0.3,0.0015308417188143685,0.0040198825095078584,77.77777777779649,0.9753086419753086,1.0
MSFT,0.15,0.4,0.0015308417188143685,0.00553384278750544,71.60493827160079,0.9753086419753086,1.0
MSFT,0.15,0.5,0.0015308417188143685,0.007008727286810887,64.19753086425575,0.9753086419753086,1.0
MSFT,0.2,0.05,0.0025004051354745142,-0.0011735166294162243,54.32098765433138,0.9876543209876543,0.7283950617283951
MSFT,0.2,0.1,0.0025004051354745142,0.000421991844600989,61.728395061732556,0.9876543209876543,0.8518518518518519
MSFT,0.2,0.15,0.0025004051354745142,0.0016807503047893864,62.96296296293801,0.9876543209876543,0.9506172839506173
MSFT,0.2,0.2,0.0025004051354745142,0.0025383670513191734,66.66666666666666,0.9876543209876543,0.9876543209876543
MSFT,0.2,0.25,0.0025004051354745142,0.003298396439586752,65.43209876540507,0.9876543209876543,1.0
MSFT,0.2,0.3,0.0025004051354745142,0.0040198825095078584,71.60493827160079,0.9876543209876543,1.0
MSFT,0.2,0.4,0.0025004051354745142,0.00553384278750544,65.43209876540507,0.9876543209876543,1.0
MSFT,0.2,0.5,0.0025004051354745142,0.007008727286810887,58.02469135806004,0.9876543209876543,1.0
MSFT,0.25,0.05,0.0033548718259220575,-0.0011735166294162243,56.79012345679844,1.0,0.7283950617283951
MSFT,0.25,0.1,0.0033548718259220575,0.000421991844600989,64.19753086419962,1.0,0.8518518518518519
MSFT,0.25,0.15,0.0033548718259220575,0.0016807503047893864,65.43209876540507,1.0,0.9506172839506173
MSFT,0.25,0.2,0.0033548718259220575,0.0025383670513191734,69.13580246913372,1.0,0.9876543209876543
MSFT,0.25,0.25,0.0033548718259220575,0.003298396439586752,67.90123456787212,1.0,1.0
MSFT,0.25,0.3,0.0033548718259220575,0.0040198825095078584,74.07407407406784,1.0,1.0
MSFT,0.25,0.4,0.0033548718259220575,0.00553384278750544,67.90123456787212,1.0,1.0
MSFT,0.25,0.5,0.0033548718259220575,0.007008727286810887,60.4938271605271,1.0,1.0
MSFT,0.3,0.05,0.004281239301888694,-0.0011735166294162243,58.02469135806004,1.0,0.7283950617283951
MSFT,0.3,0.1,0.004281239301888694,0.000421991844600989,65.4320987654612,1.0,0.8518518518518519
MSFT,0.3,0.15,0.004281239301888694,0.0016807503047893864,66.66666666666666,1.0,0.9506172839506173
MSFT,0.3,0.2,0.004281239301888694,0.0025383670513191734,70.37037037039532,1.0,0.9876543209876543
MSFT,0.3,0.25,0.004281239301888694,0.003298396439586752,69.13580246913372,1.0,1.0
MSFT,0.3,0.3,0.004281239301888694,0.0040198825095078584,75.30864197532944,1.0,1.0
MSFT,0.3,0.4,0.004281239301888694,0.00553384278750544,69.13580246913372,1.0,1.0
MSFT,0.3,0.5,0.004281239301888694,0.007008727286810887,61.728395061788696,1.0,1.0
MSFT,0.4,0.05,0.005884306318191544,-0.0011735166294162243,64.19753086425575,1.0,0.7283950617283951
MSFT,0.4,0.1,0.005884306318191544,0.000421991844600989,71.60493827165692,1.0,0.8518518518518519
MSFT,0.4,0.15,0.005884306318191544,0.0016807503047893864,72.83950617286237,1.0,0.9506172839506173
MSFT,0.4,0.2,0.005884306318191544,0.0025383670513191734,76.54320987659104,1.0,0.9876543209876543
MSFT,0.4,0.25,0.005884306318191544,0.003298396439586752,75.30864197532944,1.0,1.0
MSFT,0.4,0.3,0.005884306318191544,0.0040198825095078584,81.48148148152515,1.0,1.0
